distance left (km),control stop,speed limit (km/h),height change (m)   ,bearing (deg)
3027              ,0           ,40                ,-5.5193247800513    ,58.0535246459555
3026              ,0           ,60                ,-5.5981722769091    ,6.69234323097376
3025              ,0           ,50                ,-5.5193247800513    ,6.6929932452528
3024              ,0           ,80                ,-5.5193247800513    ,31.5789686924228
3023              ,0           ,80                ,-2.94178074424577   ,70.7841688406529
3022              ,0           ,100               ,0.831131684487714   ,89.8884120741505
3021              ,0           ,100               ,3.37862209152631    ,89.886578285425
3020              ,0           ,100               ,1.20009436967719    ,89.7381383767129
3019              ,0           ,100               ,1.28829993607719    ,99.0139158624722
3018              ,0           ,100               ,2.86656688743512    ,61.2030450902192
3017              ,0           ,100               ,3.83272799743857    ,93.2854084478719
3016              ,0           ,100               ,5.74992286014035    ,110.725498943044
3015              ,0           ,100               ,3.90581117750877    ,111.139005193876
3014              ,0           ,100               ,5.00984443045616    ,110.908545044739
3013              ,0           ,100               ,0.523521181298214   ,110.676869883396
3012              ,0           ,100               ,-0.984714994035095  ,120.193493839756
3011              ,0           ,100               ,-0.696724982736825  ,129.073876863202
3010              ,0           ,100               ,-1.33733359810526   ,130.016430998004
3009              ,0           ,100               ,-1.10322531375436   ,127.848130149013
3008              ,0           ,100               ,-1.22870922901755   ,130.053887719971
3007              ,0           ,60                ,0.552187559964921   ,103.333667337224
3006              ,0           ,60                ,2.22941999863156    ,126.543644886701
3005              ,0           ,60                ,-0.616436471614023  ,134.984593326598
3004              ,0           ,60                ,1.1546617753333     ,150.853191004946
3003              ,0           ,60                ,1.3536703740351     ,157.376963846533
3002              ,0           ,100               ,-0.321899148701739  ,150.724692493311
3001              ,0           ,100               ,-1.26511359617545   ,140.862436044467
3000              ,0           ,100               ,-0.567925651754386  ,112.685588170753
2999              ,0           ,100               ,0.215159560245638   ,125.769068067944
2998              ,0           ,100               ,0.873627926035063   ,128.036188671373
2997              ,0           ,100               ,4.08072951947369    ,140.810283102366
2996              ,0           ,110               ,5.14654952807014    ,140.448822595182
2995              ,0           ,110               ,0.934711817122832   ,145.184890246636
2994              ,0           ,110               ,-1.01012519757892   ,146.178446236377
2993              ,0           ,110               ,-2.0260552991579    ,157.910589768111
2992              ,0           ,110               ,-3.72022585273686   ,179.735639843502
2991              ,0           ,110               ,-3.98155854540352   ,180.239781334804
2990              ,0           ,100               ,-3.29124179108769   ,180.169264621901
2989              ,0           ,100               ,-4.57080512971931   ,180.009353229614
2988              ,0           ,100               ,-3.9556965528421    ,180.167187376027
2987              ,0           ,110               ,-2.66343606778947   ,181.946296067643
2986              ,0           ,110               ,-0.63030717877194   ,183.18533560433
2985              ,0           ,110               ,2.54926831694738    ,171.084447381996
2984              ,0           ,110               ,4.21339090691227    ,169.716304628761
2983              ,0           ,110               ,4.06642097484211    ,170.554904404538
2982              ,0           ,110               ,4.99302102849124    ,170.867528538639
2981              ,0           ,110               ,4.52138917452629    ,172.072976102738
2980              ,0           ,110               ,4.22770758087719    ,170.591945629349
2979              ,0           ,110               ,4.6161041559298     ,166.319104056876
2978              ,0           ,110               ,3.41890076284214    ,170.619129025558
2977              ,0           ,110               ,1.3620230137544     ,173.00729829718
2976              ,0           ,130               ,1.03494401003507    ,173.052901925689
2975              ,0           ,130               ,0.203476721824543   ,173.293088844568
2974              ,0           ,130               ,-1.78824470971928   ,172.954375880351
2973              ,0           ,130               ,-2.70172087329821   ,161.517989718589
2972              ,0           ,130               ,0.350447519298228   ,153.070708121551
2971              ,0           ,130               ,1.0868909617193     ,153.070889296203
2970              ,0           ,130               ,2.10929224533331    ,153.07189079149
2969              ,0           ,130               ,1.58172483487721    ,148.94146843999
2968              ,0           ,130               ,-5.3298887217193    ,132.904971531475
2967              ,0           ,60                ,-6.3964107336842    ,137.087109718477
2966              ,0           ,100               ,-5.97043518919299   ,178.418665727153
2965              ,0           ,130               ,-4.29837549898242   ,183.67360061556
2964              ,0           ,130               ,1.34640137066667    ,160.991122249735
2963              ,0           ,130               ,4.94015030052629    ,149.122222502973
2962              ,0           ,130               ,3.03198877231578    ,163.967018233503
2961              ,0           ,130               ,0.142628868736807   ,167.664388965911
2960              ,0           ,130               ,-1.24672297094736   ,160.512134174007
2959              ,0           ,130               ,-3.29452025835086   ,160.513298848263
